b_luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;Luohakanra;x
b_eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;Eloparenthe;x
b_marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;Marree;x
b_augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;Augustaa;x
b_cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;Cunkupusta;x
b_jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;Jeilandarhan;x
b_garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;Garonsuena;x
massachusett;Pequot;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;Massachusett;x
b_dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;Dusulkapanth;x
b_cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;Cazuperlaeon;x
b_quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;Quanepinai;x
b_lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;Lekpenmente;x
b_broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;Broome;x
b_heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;Heukkente;x
b_emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;Emequaelle;x
b_bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;Bullocanpe;x
b_bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;Bundaberg;x
b_pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;Pupupulurata;x
b_mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;Mannisturg;x
b_weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;x
b_thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;Thargomindah;x
b_feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;Feuropenketh;x
