PROV1529; ; ; ; ; ; ; ; ; ; ; ; ; ; x
PROV2088;Greenland;;;;;;;;;;;;;x
PROV2089;Ungava;;;;;;;;;;;;;x
PROV2015;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;Kujalleq;x
PROV2016;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;Sermersooq;x
PROV2017;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;Qeqqata;x
PROV2018;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;Ivittuut;x
PROV2019;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;Iqaluit;x
PROV2020;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;Amadjuak;x
PROV2021;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;Pangnirtung;x
PROV2022;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;Kuujjuaq;x
PROV2023;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;Kangirsuk;x
PROV2024;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;Kangiqsualujjuaq;x
PROV2025;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;Killiniq;x
PROV2026;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;Nunajnguk;x
PROV2027;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;Agvituk;x
PROV2028;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;Sheshatshiu;x
PROV2029;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;Pakuashipi;x
